repository,repository_name,url,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,lastCommit,lastCommitSHA
optimalbits/bull,bull,https://github.com/optimalbits/bull.git,false,2135,70,develop,60,201,Other,113,14044,1456,3817,2013-06-27T02:35:35,2023-05-31T12:58:03,2023-06-06T07:33:23,,JavaScript,1761,167,684,9,2023-05-30T02:35:57,bae6427ce9d9fac26b198402068bd84647fd8208
jsdoc/jsdoc,jsdoc,https://github.com/jsdoc/jsdoc.git,false,2537,10,main,11,80,Apache License 2.0,270,13796,1479,24217,2010-03-13T09:18:03,2023-05-14T12:48:34,2023-05-19T12:05:21,https://jsdoc.app/,JavaScript,1574,399,460,47,2023-05-13T11:46:02,e1e75a9c4ee73f1279a975a9722c281d55dd8e28
paperjs/paper.js,paper.js,https://github.com/paperjs/paper.js.git,false,7397,15,develop,25,71,Other,402,13660,1214,91875,2011-02-07T06:21:30,2023-04-22T07:56:20,2023-04-26T12:21:59,http://paperjs.org,JavaScript,1606,336,414,52,2023-04-12T11:11:10,ea3d8a1d3e30daac041f3570c168f2a0681df49b
josdejong/mathjs,mathjs,https://github.com/josdejong/mathjs.git,false,4896,12,develop,0,187,Apache License 2.0,224,13219,1203,82782,2013-02-15T07:46:01,2023-05-16T09:26:29,2023-05-19T07:50:38,https://mathjs.org,JavaScript,1567,161,1162,29,2023-05-16T09:26:10,863780af234ccd8aeeb0f761f4825af20a96e0b4
rwaldron/johnny-five,johnny-five,https://github.com/rwaldron/johnny-five.git,false,3368,17,main,74,130,Other,456,13019,1787,95042,2012-03-30T08:09:52,2023-05-27T04:10:00,2023-05-31T07:35:23,http://johnny-five.io,JavaScript,1150,42,632,5,2023-03-23T01:19:01,094bf6cceb8b9ec424306da8e98308ebd6fa2252
webrtc/samples,samples,https://github.com/webrtc/samples.git,false,2623,32,gh-pages,0,92,BSD 3-Clause New or Revised License,635,12835,5725,18292,2013-09-20T10:40:23,2023-05-04T10:12:59,2023-05-08T06:50:12,https://webrtc.github.io/samples,JavaScript,632,27,970,7,2023-05-04T10:12:59,555d697e755f6c02b1a7abd99a0c73d32a9decb4
uxsolutions/bootstrap-datepicker,bootstrap-datepicker,https://github.com/uxsolutions/bootstrap-datepicker.git,false,1680,9,master,19,313,Apache License 2.0,454,12589,6204,6017,2012-03-17T01:11:40,2023-05-13T07:29:25,2023-05-17T07:21:09,,JavaScript,1752,774,930,99,2023-05-13T07:28:23,722dc29432e89e048e5677b51fb4cfd8bbdab13c
systemjs/systemjs,systemjs,https://github.com/systemjs/systemjs.git,false,2239,5,main,193,112,MIT License,261,12519,1138,10833,2013-05-14T08:45:48,2023-03-21T03:25:47,2023-03-29T06:57:12,,JavaScript,1970,47,473,4,2023-03-21T03:25:34,5019edad0456cee70228dff54771d5785bb4b35f
mishoo/uglifyjs,uglifyjs,https://github.com/mishoo/uglifyjs.git,false,3322,3,master,275,116,Other,274,12427,1257,18247,2012-08-27T09:31:03,2023-01-16T01:30:59,2023-02-07T02:11:19,http://lisperator.net/uglifyjs/,JavaScript,2828,26,2944,11,2023-01-16T01:30:59,f0ca9cfbe65efc919149e7cd74cedd186d6413ee
googlechrome/chrome-extensions-samples,chrome-extensions-samples,https://github.com/googlechrome/chrome-extensions-samples.git,false,1522,29,main,0,113,Apache License 2.0,662,12208,7211,53993,2012-06-13T12:30:44,2023-05-04T07:27:01,2023-05-09T06:58:48,https://developer.chrome.com/extensions,JavaScript,362,50,457,23,2023-05-04T07:27:01,50fe8517954371c19d0c042c616887d24c17e167
gruntjs/grunt,grunt,https://github.com/gruntjs/grunt.git,false,1527,25,main,12,72,Other,490,12185,1540,2808,2011-09-21T03:16:20,2023-05-28T12:17:05,2023-05-31T10:19:57,http://gruntjs.com/,JavaScript,1251,144,495,14,2023-05-28T12:17:05,238df78776e42680dc8a42a5342aaa05f49fbcb6
nock/nock,nock,https://github.com/nock/nock.git,false,2097,8,main,137,234,MIT License,94,12153,788,8562,2011-09-22T10:08:03,2023-05-09T04:02:56,2023-05-18T06:23:40,,JavaScript,1049,55,1390,21,2023-05-02T04:55:19,76a8df2562536a583c60872665172cc4d965994b
reactioncommerce/reaction,reaction,https://github.com/reactioncommerce/reaction.git,false,21208,120,trunk,205,168,GNU General Public License v3.0,431,12004,2162,112340,2013-09-18T03:30:36,2023-05-29T07:42:16,2023-05-31T11:18:13,https://mailchimp.com/developer/open-commerce/,JavaScript,3551,86,3123,21,2023-03-28T12:25:36,ecb8ef62d8312ed62cb05da64bec1a86fe0b188d
browsersync/browser-sync,browser-sync,https://github.com/browsersync/browser-sync.git,false,2092,34,master,37,88,Apache License 2.0,251,11968,786,14064,2013-10-12T07:35:45,2023-05-24T01:13:57,2023-05-29T07:24:46,,JavaScript,1686,537,341,26,2023-05-17T07:09:17,b2441b11b14a01880464ed4a0c2e1abb33c7a882
karma-runner/karma,karma,https://github.com/karma-runner/karma.git,false,2843,2,master,172,341,MIT License,320,11850,1772,9912,2011-10-12T07:55:46,2023-05-16T09:14:07,2023-05-28T12:57:25,http://karma-runner.github.io,JavaScript,2038,333,1803,18,2023-04-27T06:35:48,450fdfdac5b999967daec1020f1ac69cf9b854ab
wenzhixin/bootstrap-table,bootstrap-table,https://github.com/wenzhixin/bootstrap-table.git,false,4873,17,develop,20,280,MIT License,491,11494,4513,31764,2013-08-20T03:34:15,2023-04-13T09:58:22,2023-04-14T05:14:07,https://bootstrap-table.com/,JavaScript,5027,197,1709,9,2023-04-05T09:07:00,8eb2c231f23ab078a2ce59aeff3088102877bda2
nightwatchjs/nightwatch,nightwatch,https://github.com/nightwatchjs/nightwatch.git,false,2613,10,main,219,109,MIT License,261,11362,1116,53648,2012-03-17T09:28:18,2023-05-08T05:50:31,2023-05-02T08:03:39,https://nightwatchjs.org,JavaScript,2620,186,837,29,2023-05-04T08:30:33,187835f2cd3839f074c0e58f093d9993e42053f1
shipshapecode/shepherd,shepherd,https://github.com/shipshapecode/shepherd.git,false,2417,10,master,128,93,MIT License,102,11205,612,30926,2013-12-17T06:30:27,2023-05-29T11:14:39,2023-05-30T06:53:14,https://shepherdjs.dev/,JavaScript,529,37,1814,8,2023-05-29T11:14:38,ad1141586689e43c0a40048d3c624d1a2d0d79cb
gildas-lormeau/singlefile,singlefile,https://github.com/gildas-lormeau/singlefile.git,false,7244,1,master,19,30,GNU Affero General Public License v3.0,112,11200,803,338382,2010-09-12T11:50:21,2023-05-17T09:32:51,2023-05-29T08:20:34,,JavaScript,867,66,178,2,2023-05-17T09:32:47,0bca0227851348ef9bbaec780e88deb32b1cc03d
brianc/node-postgres,node-postgres,https://github.com/brianc/node-postgres.git,false,2619,39,master,0,257,MIT License,185,11148,1180,3860,2010-10-15T11:05:50,2023-05-06T06:47:46,2023-05-09T01:50:17,https://node-postgres.com,JavaScript,2143,380,822,51,2023-05-02T12:55:59,249182ea9fc1d0f3d73ecd5b67b5f2fde2ceab4f
